N; BlockSize; GridSize; time_sec
33554432; 128; 208; 1.707812
33554432; 128; 208; 1.703659
33554432; 128; 208; 1.708810
33554432; 128; 208; 1.698003
33554432; 128; 208; 1.707284
33554432; 128; 208; 1.706877
33554432; 128; 208; 1.709954
33554432; 128; 208; 1.708014
33554432; 128; 208; 1.709941
33554432; 128; 208; 1.714526
33554432; 128; 208; 1.705260
33554432; 128; 208; 1.702963
33554432; 128; 208; 1.706339
33554432; 128; 208; 1.700341
33554432; 128; 208; 1.705134
33554432; 128; 208; 1.702697
33554432; 128; 208; 1.712611
33554432; 128; 208; 1.698033
33554432; 128; 208; 1.714886
33554432; 128; 208; 1.704839
