N; BlockSize; GridSize; time_sec
33554432; 32; 832; 0.399434
33554432; 32; 832; 0.368294
33554432; 32; 832; 0.347767
33554432; 32; 832; 0.348449
33554432; 32; 832; 0.351378
33554432; 32; 832; 0.355334
33554432; 32; 832; 0.350365
33554432; 32; 832; 0.347715
33554432; 32; 832; 0.348797
33554432; 32; 832; 0.351163
33554432; 32; 832; 0.350471
33554432; 32; 832; 0.350835
33554432; 32; 832; 0.350641
33554432; 32; 832; 0.354812
33554432; 32; 832; 0.347158
33554432; 32; 832; 0.351129
33554432; 32; 832; 0.348746
33554432; 32; 832; 0.349830
33554432; 32; 832; 0.349017
33554432; 32; 832; 0.350244
