N; BlockSize; GridSize; time_sec
33554432; 512; 52; 0.544076
33554432; 512; 52; 0.547386
33554432; 512; 52; 0.546706
33554432; 512; 52; 0.544497
33554432; 512; 52; 0.544743
33554432; 512; 52; 0.547595
33554432; 512; 52; 0.548864
33554432; 512; 52; 0.544692
33554432; 512; 52; 0.543368
33554432; 512; 52; 0.540070
33554432; 512; 52; 0.540124
33554432; 512; 52; 0.545018
33554432; 512; 52; 0.543272
33554432; 512; 52; 0.542082
33554432; 512; 52; 0.544076
33554432; 512; 52; 0.541592
33554432; 512; 52; 0.542317
33554432; 512; 52; 0.542198
33554432; 512; 52; 0.542762
33554432; 512; 52; 0.542659
