N; BlockSize; GridSize; time_sec
33554432; 128; 208; 0.233680
33554432; 128; 208; 0.231637
33554432; 128; 208; 0.233444
33554432; 128; 208; 0.233703
33554432; 128; 208; 0.237021
33554432; 128; 208; 0.231033
33554432; 128; 208; 0.232980
33554432; 128; 208; 0.231929
33554432; 128; 208; 0.231707
33554432; 128; 208; 0.230334
33554432; 128; 208; 0.230928
33554432; 128; 208; 0.231661
33554432; 128; 208; 0.232065
33554432; 128; 208; 0.234532
33554432; 128; 208; 0.236017
33554432; 128; 208; 0.237818
33554432; 128; 208; 0.233924
33554432; 128; 208; 0.233215
33554432; 128; 208; 0.234787
33554432; 128; 208; 0.233892
